work_year,job_title,salary_in_usd,experience_level,employment_type,work_setting,company_location
2023,Data Scientist,277300,Senior,Full-time,In-person,United Kingdom
2023,Machine Learning Engineer,276000,Senior,Full-time,In-person,United States
2023,ML Engineer,276000,Senior,Full-time,In-person,United States
2023,Data Engineer,276000,Senior,Full-time,Remote,United States
2023,ML Engineer,276000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,276000,Senior,Full-time,In-person,United States
2023,ML Engineer,276000,Senior,Full-time,In-person,United States
2023,Data Scientist,275500,Senior,Full-time,In-person,United States
2023,Data Scientist,275300,Senior,Full-time,Remote,United States
2023,ML Engineer,275300,Senior,Full-time,Remote,United States
2023,Data Scientist,275300,Senior,Full-time,Remote,United States
2023,Data Scientist,275300,Senior,Full-time,Remote,United States
2023,Analytics Engineer,275300,Senior,Full-time,Remote,United States
2023,Data Engineer,275300,Senior,Full-time,Remote,United States
2023,Data Scientist,275300,Senior,Full-time,Remote,United States
2023,Analytics Engineer,275300,Senior,Full-time,Remote,United States
2023,Data Scientist,275300,Senior,Full-time,Remote,United States
2023,Data Scientist,275300,Senior,Full-time,Remote,United States
2023,Data Scientist,275300,Senior,Full-time,Remote,United States
2023,Data Scientist,275300,Senior,Full-time,Remote,United States
2023,Data Scientist,275300,Senior,Full-time,Remote,United States
2023,Research Scientist,275000,Mid-level,Full-time,In-person,United States
2023,Machine Learning Engineer,275000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,275000,Senior,Full-time,In-person,United States
2023,Research Scientist,275000,Senior,Full-time,In-person,United States
2023,NLP Engineer,275000,Senior,Full-time,In-person,United States
2023,Research Engineer,275000,Senior,Full-time,In-person,Germany
2023,Machine Learning Engineer,275000,Senior,Full-time,In-person,United States
2023,Data Engineer,275000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,275000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,275000,Senior,Full-time,In-person,Germany
2023,Data Engineer,275000,Mid-level,Full-time,In-person,Canada
2023,Data Engineer,275000,Senior,Full-time,In-person,United States
2023,Research Scientist,275000,Mid-level,Full-time,In-person,United States
2023,Data Architect,274450,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,273400,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,273400,Senior,Full-time,In-person,United States
2023,Research Scientist,273400,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,273400,Senior,Full-time,Remote,United States
2023,Research Engineer,273000,Senior,Full-time,In-person,United States
2023,Data Scientist,272550,Senior,Full-time,In-person,United States
2023,Data Science Manager,272400,Executive,Full-time,In-person,United States
2023,Data Science Manager,272400,Senior,Full-time,In-person,United States
2023,Data Scientist,272300,Senior,Full-time,In-person,United States
2023,Data Scientist,272290,Senior,Full-time,Remote,United States
2023,Machine Learning Software Engineer,272000,Senior,Full-time,In-person,United States
2023,Data Engineer,270703,Senior,Full-time,In-person,United States
2023,Data Science Manager,270000,Mid-level,Full-time,Remote,United States
2023,ML Engineer,270000,Senior,Full-time,Remote,United States
2023,Data Scientist,270000,Senior,Full-time,In-person,United States
2023,Head of Data,270000,Executive,Full-time,Remote,United States
2023,Research Scientist,270000,Mid-level,Full-time,In-person,United States
2023,Head of Data,269600,Executive,Full-time,Remote,United States
2023,Head of Data,269600,Executive,Full-time,In-person,United States
2023,Head of Data,269600,Executive,Full-time,In-person,United States
2023,Head of Data,269600,Executive,Full-time,Remote,United States
2023,Machine Learning Engineer,269500,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,269500,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,269500,Senior,Full-time,In-person,United States
2023,Data Engineer,269100,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,269000,Senior,Full-time,Remote,Canada
2023,Data Scientist,268000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,268000,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,267720,Senior,Full-time,In-person,United States
2023,ML Engineer,267720,Senior,Full-time,In-person,United States
